text,created_at,thread_id_fallback,rules_text,model_text,_ts,_dow,_hour,_is_after_5,_is_fri_after_3,_is_weekend,_is_after_hours,DeliveryAfterHours,StatusChangeAfterHours,ReadyForReviewAfterHours,FridayEarlyCutoffDelivery,WeekendDelivery,ApologyRush,ReworkPhrase,ResubmissionPhrase,MissedRequirementPhrase,NotRightFirstTime
the deployment script is drunk again,2025-11-06T02:21:44.908741Z,NA,the deployment script is drunk again,the deploy script is drunk again,2025-11-05 21:21:44.908741-05:00,2,21,True,False,False,True,0,0,0,0,0,0,0,0,0,0
this YAML parser hates me personally,2025-11-06T08:12:57.908741Z,NA,this yaml parser hates me personally,thi yaml parser hate me person,2025-11-06 03:12:57.908741-05:00,3,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-11-04T19:28:05.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-11-04 14:28:05.908741-05:00,1,14,False,False,False,False,0,0,0,0,0,0,0,0,0,0
We're seeing flaky integration tests again.,2025-11-24T13:41:51.908741Z,NA,we re seeing flaky integration tests again,we re see flaki integr test again,2025-11-24 08:41:51.908741-05:00,0,8,False,False,False,False,0,0,0,0,0,0,0,0,0,0
I swear the build server wakes up choosing chaos,2025-11-17T02:18:32.908741Z,NA,i swear the build server wakes up choosing chaos,i swear the build server wake up choos chao,2025-11-16 21:18:32.908741-05:00,6,21,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Prometheus scrape interval went weird after the update. — also I swear the build server wakes up choosing chaos,2025-10-24T07:40:45.908741Z,NA,prometheus scrape interval went weird after the update also i swear the build server wakes up choosing chaos,prometheu scrape interv went weird after the updat also i swear the build server wake up choos chao,2025-10-24 03:40:45.908741-04:00,4,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Bootstrap process missing the credentials file.,2025-11-04T01:45:54.908741Z,NA,bootstrap process missing the credentials file,bootstrap process miss the credenti file,2025-11-03 20:45:54.908741-05:00,0,20,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-11-21T22:45:03.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-11-21 17:45:03.908741-05:00,4,17,True,True,False,True,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-11-02T20:58:56.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-11-02 15:58:56.908741-05:00,6,15,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Startup checks failing on init container.,2025-11-17T22:53:17.908741Z,NA,startup checks failing on init container,startup check fail on init contain,2025-11-17 17:53:17.908741-05:00,0,17,True,False,False,True,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-16T14:56:46.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-16 09:56:46.908741-05:00,6,9,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Grafana alerts blew up with duplicate entries.,2025-10-24T05:24:09.908741Z,NA,grafana alerts blew up with duplicate entries,grafana alert blew up with duplic entri,2025-10-24 01:24:09.908741-04:00,4,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again.,2025-11-27T06:10:05.908741Z,NA,ci runner is stuck in queued state again,ci runner is stuck in queu state again,2025-11-27 01:10:05.908741-05:00,3,1,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Terraform plan is returning unexpected diffs.,2025-10-24T06:53:36.908741Z,NA,terraform plan is returning unexpected diffs,terraform plan is return unexpect diff,2025-10-24 02:53:36.908741-04:00,4,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The Helm chart versioning is out of sync. — also this YAML parser hates me personally,2025-10-26T01:26:07.908741Z,NA,the helm chart versioning is out of sync also this yaml parser hates me personally,the helm chart version is out of sync also thi yaml parser hate me person,2025-10-25 21:26:07.908741-04:00,5,21,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-09T12:08:07.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-09 07:08:07.908741-05:00,6,7,False,False,True,True,0,0,0,0,0,0,0,0,0,0
I swear the build server wakes up choosing chaos,2025-11-15T10:37:36.908741Z,NA,i swear the build server wakes up choosing chaos,i swear the build server wake up choos chao,2025-11-15 05:37:36.908741-05:00,5,5,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Reverting the last merge until we stabilize.,2025-10-26T12:45:35.908741Z,NA,reverting the last merge until we stabilize,revert the last merg until we stabil,2025-10-26 08:45:35.908741-04:00,6,8,False,False,True,True,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-11-11T04:21:09.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-10 23:21:09.908741-05:00,0,23,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-11-06T11:52:12.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-06 06:52:12.908741-05:00,3,6,False,False,False,False,0,0,0,0,0,0,0,0,0,0
this pipeline is being a total pain in the ass today,2025-10-30T18:49:57.908741Z,NA,this pipeline is being a total pain in the ass today,thi pipelin is be a total pain in the ass today,2025-10-30 14:49:57.908741-04:00,3,14,False,False,False,False,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-02T02:27:18.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-01 22:27:18.908741-04:00,5,22,True,False,True,True,0,0,0,0,0,0,0,0,0,0
Package checksum mismatch on remote node.,2025-12-01T15:09:11.908741Z,NA,package checksum mismatch on remote node,packag checksum mismatch on remot node,2025-12-01 10:09:11.908741-05:00,0,10,False,False,False,False,0,0,0,0,0,0,0,0,0,0
I swear the build server wakes up choosing chaos,2025-12-04T09:28:22.908741Z,NA,i swear the build server wakes up choosing chaos,i swear the build server wake up choos chao,2025-12-04 04:28:22.908741-05:00,3,4,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Node pool autoscale didn't kick in during rollout.,2025-10-27T18:07:47.908741Z,NA,node pool autoscale didn t kick in during rollout,node pool autoscal did nt kick in dure rollout,2025-10-27 14:07:47.908741-04:00,0,14,False,False,False,False,0,0,0,0,0,0,0,0,0,0
CI runner is stuck in queued state again.,2025-11-12T07:11:48.908741Z,NA,ci runner is stuck in queued state again,ci runner is stuck in queu state again,2025-11-12 02:11:48.908741-05:00,2,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Switching runners to isolate the failure.,2025-12-04T10:09:13.908741Z,NA,switching runners to isolate the failure,switch runner to isol the failur,2025-12-04 05:09:13.908741-05:00,3,5,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Installer script can't locate the dependency bundle.,2025-12-07T02:42:12.908741Z,NA,installer script can t locate the dependency bundle,instal script ca nt locat the depend bundl,2025-12-06 21:42:12.908741-05:00,5,21,True,False,True,True,0,0,0,0,0,0,0,0,0,0
The deployment pipeline hung at the approval gate.,2025-11-27T17:27:33.908741Z,NA,the deployment pipeline hung at the approval gate,the deploy pipelin hung at the approv gate,2025-11-27 12:27:33.908741-05:00,3,12,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Container registry timed out for the fourth time.,2025-11-13T07:11:38.908741Z,NA,container registry timed out for the fourth time,contain registri time out for the fourth time,2025-11-13 02:11:38.908741-05:00,3,2,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Triggering a manual rebuild now.,2025-11-01T15:17:08.908741Z,NA,triggering a manual rebuild now,trigger a manual rebuild now,2025-11-01 11:17:08.908741-04:00,5,11,False,False,True,True,0,0,0,0,0,0,0,0,0,0
The service mesh isn't applying the new routes.,2025-11-13T14:39:59.908741Z,NA,the service mesh isn t applying the new routes,the servic mesh is nt appli the new rout,2025-11-13 09:39:59.908741-05:00,3,9,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Pre-flight validation failed due to missing env vars.,2025-11-20T20:01:16.908741Z,NA,pre flight validation failed due to missing env vars,preflight valid fail due to miss env var,2025-11-20 15:01:16.908741-05:00,3,15,False,False,False,False,0,0,0,0,0,0,0,0,0,0
I swear the build server wakes up choosing chaos,2025-11-25T14:48:36.908741Z,NA,i swear the build server wakes up choosing chaos,i swear the build server wake up choos chao,2025-11-25 09:48:36.908741-05:00,1,9,False,False,False,False,0,0,0,0,0,0,0,0,0,0
Adding more debug output to the pipeline steps.,2025-10-29T23:39:15.908741Z,NA,adding more debug output to the pipeline steps,ad more debug output to the pipelin step,2025-10-29 19:39:15.908741-04:00,2,19,True,False,False,True,0,0,0,0,0,0,0,0,0,0
the deployment script is drunk again,2025-11-28T00:52:18.908741Z,NA,the deployment script is drunk again,the deploy script is drunk again,2025-11-27 19:52:18.908741-05:00,3,19,True,False,False,True,0,0,0,0,0,0,0,0,0,0
Prometheus scrape interval went weird after the update.,2025-11-01T21:33:35.908741Z,NA,prometheus scrape interval went weird after the update,prometheu scrape interv went weird after the updat,2025-11-01 17:33:35.908741-04:00,5,17,True,False,True,True,0,0,0,0,0,0,0,0,0,0
